seed,sample_size,explainer,metric,estimate,ci_low,ci_high,n,prediction_preservation_rate,n_rejected,runtime_ms
101,50,exact_linear,stability_top3_jaccard,0.9166666666666666,0.8645833333333334,0.96875,48,0.96,2,20.176600000922917
101,50,randomized_negative_control,deletion_fidelity_aopc_at_3,1.0703955698357261,0.8137646081253758,1.3557465472959644,50,0.96,2,20.119500000873813
101,50,randomized_negative_control,stability_top3_jaccard,0.23750000000000002,0.19375,0.2916666666666667,48,0.96,2,21.485799999936717
101,100,exact_linear,deletion_fidelity_aopc_at_3,1.8510506874694943,1.6101912397339806,2.093844453807454,100,0.98,2,21.295000000463915
101,100,exact_linear,stability_top3_jaccard,0.9489795918367347,0.9183673469387755,0.9746173469387754,98,0.98,2,20.067999999810127
101,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.9458678126665861,0.7750928279037882,1.1239771962344138,100,0.98,2,21.88879999994242
101,100,randomized_negative_control,stability_top3_jaccard,0.2285714285714286,0.19487244897959186,0.26326530612244897,98,0.98,2,23.80279999852064
101,200,exact_linear,deletion_fidelity_aopc_at_3,1.8547784945775725,1.7068093739760752,2.0023120456207195,200,0.99,2,23.40820000063104
101,200,exact_linear,stability_top3_jaccard,0.9570707070707071,0.9368686868686869,0.9747474747474747,198,0.99,2,21.346600000470062
101,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8309977068518247,0.7250947294699313,0.9473413891978963,200,0.99,2,23.815799999283627
101,200,randomized_negative_control,stability_top3_jaccard,0.247979797979798,0.2222222222222222,0.27527777777777773,198,0.99,2,28.999300000577932
