seed,sample_size,explainer,metric,estimate,ci_low,ci_high,n,prediction_preservation_rate,runtime_ms
67,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7012308001963384,0.5854215612660398,0.8279718333438245,100,0.98,3.726247999992438
67,100,randomized_negative_control,stability_top3_jaccard,0.23979591836734693,0.1979591836734694,0.2806377551020408,98,0.98,3.726247999992438
67,200,exact_linear,deletion_fidelity_aopc_at_3,1.6491784015290143,1.5079272092806746,1.7895628632426828,200,0.98,4.8661490000085905
67,200,exact_linear,stability_top3_jaccard,0.9489795918367347,0.9260204081632653,0.9693877551020408,196,0.98,4.8661490000085905
67,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7531145356528418,0.6665038605059548,0.8414016579941833,200,0.98,5.468769999993128
67,200,randomized_negative_control,stability_top3_jaccard,0.276530612244898,0.2464158163265306,0.30460459183673466,196,0.98,5.468769999993128
71,50,exact_linear,deletion_fidelity_aopc_at_3,1.4988471015474314,1.2513365948913757,1.7482829447002188,50,1.0,1.2354860000129975
71,50,exact_linear,stability_top3_jaccard,0.98,0.95,1.0,50,1.0,1.2354860000129975
71,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7175980835973532,0.5363577137679019,0.899345076946897,50,1.0,1.4594170000066242
71,50,randomized_negative_control,stability_top3_jaccard,0.22599999999999998,0.176,0.27799999999999997,50,1.0,1.4594170000066242
71,100,exact_linear,deletion_fidelity_aopc_at_3,1.64500825822549,1.4513220344311322,1.848108303707444,100,1.0,2.3549910000042473
71,100,exact_linear,stability_top3_jaccard,0.96,0.935,0.985,100,1.0,2.3549910000042473
71,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8072170841275437,0.6536357248338088,0.9693317798186921,100,1.0,2.707973000013908
71,100,randomized_negative_control,stability_top3_jaccard,0.272,0.23199999999999998,0.314,100,1.0,2.707973000013908
71,200,exact_linear,deletion_fidelity_aopc_at_3,1.6852045490638157,1.5479800263663113,1.820935958238117,200,0.995,4.8198640000123305
71,200,exact_linear,stability_top3_jaccard,0.9623115577889447,0.9422110552763819,0.9798994974874372,199,0.995,4.8198640000123305
